,year,month,day,date,epochTime,raw_value,NaN,isodate,value.avg
0,2004,1,29,01/29/2004,1075334400,1.6890045404434204,0.0,01/29/2004,1.6890045404434204
1,2004,1,30,01/30/2004,1075420800,1.3862993717193604,0.0,01/30/2004,1.3862993717193604
2,2004,1,31,01/31/2004,1075507200,1.4557262659072876,0.0,01/31/2004,1.4557262659072876
3,2004,2,1,02/01/2004,1075593600,2.302732229232788,0.0,02/01/2004,2.302732229232788
4,2004,2,2,02/02/2004,1075680000,1.0574924945831299,0.0,02/02/2004,1.0574924945831299
5,2004,2,3,02/03/2004,1075766400,1.1579097509384155,0.0,02/03/2004,1.1579097509384155
6,2004,2,4,02/04/2004,1075852800,1.6795865297317505,0.0,02/04/2004,1.6795865297317505
7,2004,2,5,02/05/2004,1075939200,1.717897891998291,0.0,02/05/2004,1.717897891998291
8,2004,2,6,02/06/2004,1076025600,1.186432957649231,0.0,02/06/2004,1.186432957649231
9,2004,2,7,02/07/2004,1076112000,0.9559135437011719,0.0,02/07/2004,0.9559135437011719
10,2004,2,8,02/08/2004,1076198400,1.0887798070907593,0.0,02/08/2004,1.0887798070907593
11,2004,2,9,02/09/2004,1076284800,1.179185390472412,0.0,02/09/2004,1.179185390472412
12,2004,2,10,02/10/2004,1076371200,1.4870115518569946,0.0,02/10/2004,1.4870115518569946
13,2004,2,11,02/11/2004,1076457600,1.1688960790634155,0.0,02/11/2004,1.1688960790634155
14,2004,2,12,02/12/2004,1076544000,1.2287245988845825,0.0,02/12/2004,1.2287245988845825
15,2004,2,13,02/13/2004,1076630400,2.036919116973877,0.0,02/13/2004,2.036919116973877
16,2004,2,14,02/14/2004,1076716800,2.8090531826019287,0.0,02/14/2004,2.8090531826019287
17,2004,2,15,02/15/2004,1076803200,1.534466028213501,0.0,02/15/2004,1.534466028213501
18,2004,2,16,02/16/2004,1076889600,1.2592612504959106,0.0,02/16/2004,1.2592612504959106
19,2004,2,17,02/17/2004,1076976000,1.4093667268753052,0.0,02/17/2004,1.4093667268753052
20,2004,2,18,02/18/2004,1077062400,1.3676007986068726,0.0,02/18/2004,1.3676007986068726
21,2004,2,19,02/19/2004,1077148800,1.3016886711120605,0.0,02/19/2004,1.3016886711120605
22,2004,2,20,02/20/2004,1077235200,1.1310559511184692,0.0,02/20/2004,1.1310559511184692
23,2004,2,21,02/21/2004,1077321600,1.1737951040267944,0.0,02/21/2004,1.1737951040267944
24,2004,2,22,02/22/2004,1077408000,1.5334144830703735,0.0,02/22/2004,1.5334144830703735
25,2004,2,23,02/23/2004,1077494400,1.2090718746185303,0.0,02/23/2004,1.2090718746185303
26,2004,2,24,02/24/2004,1077580800,1.4279605150222778,0.0,02/24/2004,1.4279605150222778
27,2004,2,25,02/25/2004,1077667200,1.464601993560791,0.0,02/25/2004,1.464601993560791
28,2004,2,26,02/26/2004,1077753600,1.3190863132476807,0.0,02/26/2004,1.3190863132476807
29,2004,2,27,02/27/2004,1077840000,1.4595115184783936,0.0,02/27/2004,1.4595115184783936
