,year,month,day,date,epochTime,raw_value,NaN,isodate,value.avg
0,2024,1,1,01/01/2024,1704067200,288.3793640136719,0.0,01/01/2024,288.3793640136719
1,2024,1,2,01/02/2024,1704153600,288.3304138183594,0.0,01/02/2024,288.3304138183594
2,2024,1,3,01/03/2024,1704240000,287.66192626953125,0.0,01/03/2024,287.66192626953125
3,2024,1,4,01/04/2024,1704326400,288.160400390625,0.0,01/04/2024,288.160400390625
4,2024,1,5,01/05/2024,1704412800,287.866455078125,0.0,01/05/2024,287.866455078125
5,2024,1,6,01/06/2024,1704499200,287.35345458984375,0.0,01/06/2024,287.35345458984375
6,2024,1,7,01/07/2024,1704585600,285.1516418457031,0.0,01/07/2024,285.1516418457031
7,2024,1,8,01/08/2024,1704672000,288.82281494140625,0.0,01/08/2024,288.82281494140625
8,2024,1,9,01/09/2024,1704758400,286.3226318359375,0.0,01/09/2024,286.3226318359375
9,2024,1,10,01/10/2024,1704844800,285.7209167480469,0.0,01/10/2024,285.7209167480469
10,2024,1,11,01/11/2024,1704931200,286.4343566894531,0.0,01/11/2024,286.4343566894531
11,2024,1,12,01/12/2024,1705017600,286.8499450683594,0.0,01/12/2024,286.8499450683594
12,2024,1,13,01/13/2024,1705104000,285.7816467285156,0.0,01/13/2024,285.7816467285156
13,2024,1,14,01/14/2024,1705190400,285.82562255859375,0.0,01/14/2024,285.82562255859375
14,2024,1,15,01/15/2024,1705276800,287.10003662109375,0.0,01/15/2024,287.10003662109375
15,2024,1,16,01/16/2024,1705363200,287.09429931640625,0.0,01/16/2024,287.09429931640625
16,2024,1,17,01/17/2024,1705449600,286.18011474609375,0.0,01/17/2024,286.18011474609375
17,2024,1,18,01/18/2024,1705536000,285.9323425292969,0.0,01/18/2024,285.9323425292969
18,2024,1,19,01/19/2024,1705622400,283.9833984375,0.0,01/19/2024,283.9833984375
19,2024,1,20,01/20/2024,1705708800,284.709716796875,0.0,01/20/2024,284.709716796875
20,2024,1,21,01/21/2024,1705795200,287.0439147949219,0.0,01/21/2024,287.0439147949219
21,2024,1,22,01/22/2024,1705881600,287.2259521484375,0.0,01/22/2024,287.2259521484375
22,2024,1,23,01/23/2024,1705968000,285.81475830078125,0.0,01/23/2024,285.81475830078125
23,2024,1,24,01/24/2024,1706054400,285.5774230957031,0.0,01/24/2024,285.5774230957031
