country,malnourished_2002,malnourished_2009,malnourished_2015,malnourished_2022,under5wasting_2002,,under5wasting_2010,,under5wasting_2017,,under5wasting_2022,,under5stunting_2002,,under5stunting_2010,,under5stunting_2017,,under5stunting_2022,,under5mortality_2000,under5mortality_2008,under5mortality_2015,under5mortality_2021
Afghanistan,46.4,25.4,21.3,30.1,10.9,*,8.4,*,9.5,,3.7,,50.3,*,50.8,*,40.4,,44.7,,12.9,9.6,7,5.6
Albania,4.9,7.4,4.3,4.1,7.5,*,9.6,,4.2,*,1.6,,32,*,23.2,,15.7,*,11.3,,2.7,1.6,1,0.9
Algeria,8.1,5.6,2.6,<2.5,3.1,,4.1,,4.1,,2.7,,23.6,,15.4,,11.7,,9.8,,4.2,3,2.5,2.2
Angola,67.8,43.6,13.5,21.6,9.2,*,8.3,,4.9,,6,*,50.4,*,29.2,,37.6,,29.4,*,20.5,13.8,8.8,6.9
Argentina,3.1,3.4,2.7,3.2,2.1,*,1.2,,1.9,*,2.7,,10.4,*,8.2,,8.1,*,12.3,,2,1.5,1.2,0.7
Armenia,25.7,5.8,<2.5,<2.5,2.5,,4.1,,4.4,,3.3,*,17.3,,20.9,,9.4,,10.9,*,3.1,2.1,1.4,1.1
Azerbaijan,16.8,<2.5,<2.5,<2.5,9,,6.8,,3.2,,3.6,*,24.2,,26.5,,17.8,,12,*,7.5,4.3,2.6,1.9
Bahrain,—,—,—,—,2.2,*,1.9,*,1.8,*,1.8,*,4.1,*,3.3,*,3.1,*,3.1,*,1.2,0.9,0.7,0.7
Bangladesh,15.6,12.9,14.8,11.2,12.5,,17.5,,15.6,,11,,51.1,,43.2,,32.7,,23.6,,8.6,5.5,3.8,2.7
Belarus,<2.5,<2.5,<2.5,<2.5,2.4,*,2.1,*,2.1,*,1.9,*,6.4,*,3.9,*,3.4,*,3.4,*,1.3,0.7,0.4,0.3
Benin,17.3,9.1,8.1,9.9,9,,5.2,,4.5,,5,,36.2,,37.4,,34,,32.2,,13.7,11.4,9.8,8.4
Bhutan,—,—,—,—,2.6,,4.5,,3.1,*,2.6,*,47.7,,34.9,,25.3,*,18.3,*,7.7,4.8,3.3,2.7
