country,"2000 (1998-2002)","2008 (2006-2010)","2015 (2013-2017)","2023 (2018-2022)",abs_change_since_2015,per_change_since_2015
Afghanistan,49.6,36.5,30.4,30.6,0.2,0.7
Albania,16.4,15.5,8.8,6.1,-2.7,-30.7
Algeria,14.7,11.1,8.5,6.8,-1.7,-20
Angola,64.9,42.9,25.7,25.9,0.2,0.8
Argentina,6.8,5.5,5.3,6.4,1.1,20.8
Armenia,19.2,11.7,6.3,5.6,-0.7,-11.1
Azerbaijan,24.9,15,9.3,6.9,-2.4,-25.8
Bahrain,—,—,—,—,—,—
Bangladesh,33.8,30.6,26.2,19,-7.2,-27.5
Belarus,<5,<5,<5,<5,—,—
Benin,33.9,26.4,23.3,22.6,-0.7,-3
Bhutan,—,—,—,—,—,—
Bolivia (Plurinat. State of),27.6,22.1,14.7,15.6,0.9,6.1
Bosnia & Herzegovina,9.4,6.5,5.3,<5,—,—
Botswana,27.2,26.8,22.2,19.9,-2.3,-10.4
Brazil,11.7,6.8,5.4,6.7,1.3,24.1
Bulgaria,8.6,7.7,7.3,5.4,-1.9,-26
Burkina Faso,45,33.7,28,25.5,-2.5,-8.9
Burundi,—,—,—,—,—,—
Cabo Verde,15.7,12.4,14.6,12.4,-2.2,-15.1
Cambodia,41.4,25.6,19,14.9,-4.1,-21.6
Cameroon,36,29,20.7,18.6,-2.1,-10.1
Central African Republic,48.2,43.7,44,42.3,-1.7,-3.9
Chad,50.6,49.9,40.1,34.6,-5.5,-13.7
Chile,<5,<5,<5,<5,—,—
China,13.4,7.1,<5,<5,—,—
Colombia,11,10.2,7.5,7,-0.5,-6.7
Comoros,38.2,30.4,24,22.7,-1.3,-5.4
Congo (Republic of),34.6,32.4,26.2,28,1.8,6.9
Costa Rica,6.9,<5,<5,5.1,—,—
Côte d'Ivoire,32.5,36,22.1,20.6,-1.5,-6.8
Croatia,<5,<5,<5,<5,—,—
Dem. Rep. of the Congo,46.3,40.2,36.4,35.7,-0.7,-1.9
Djibouti,44.4,33.9,29.6,23,-6.6,-22.3
Dominican Republic,15.1,13.9,9.4,8.6,-0.8,-8.5
Ecuador,19.7,18.1,11.7,14.5,2.8,23.9
Egypt,16.4,16.9,15.2,12.8,-2.4,-15.8
El Salvador,14.7,12,9.8,8.1,-1.7,-17.3
Equatorial Guinea,—,—,—,—,—,—
Eritrea,—,—,—,—,—,—
Estonia,<5,<5,<5,<5,—,—
Eswatini,24.7,25,19.3,17.3,-2,-10.4
Ethiopia,53.3,40.5,26.5,26.2,-0.3,-1.1
Fiji,9.3,8.6,10.4,9.7,-0.7,-6.7
Gabon,21,20.2,17.3,18.7,1.4,8.1
Gambia,29.2,24.9,24.3,19.7,-4.6,-18.9
Georgia,12.1,6.6,<5,<5,—,—
Ghana,28.5,22.2,15.7,13.7,-2,-12.7
Guatemala,28.6,24,20.6,19.1,-1.5,-7.3
Guinea,40.2,29.3,28.4,27.1,-1.3,-4.6
Guinea-Bissau,37.7,29.6,33.3,33,-0.3,-0.9
Guyana,17.2,15.1,11.3,9.3,-2,-17.7
Haiti,40.3,40.2,30.1,31.1,1,3.3
Honduras,22,19.2,15,14.9,-0.1,-0.7
Hungary,6.7,5.6,5,<5,—,—
India,38.4,35.5,29.2,28.7,-0.5,-1.7
Indonesia,26,28.5,21.9,17.6,-4.3,-19.6
Iran (Islamic Republic of),13.7,8.8,7.7,7.7,0,0
Iraq,23.6,20.3,16.5,13.8,-2.7,-16.4
Jamaica,8.5,8.6,8.6,7.5,-1.1,-12.8
Jordan,—,—,—,—,—,—
Kazakhstan,11.3,11,5.7,5.5,-0.2,-3.5
Kenya,36.7,29.5,22.5,22,-0.5,-2.2
Korea (DPR),39.5,30.4,24.8,27.8,3,12.1
Kuwait,<5,<5,<5,<5,—,—
Kyrgyzstan,17.5,12.9,9.1,7.5,-1.6,-17.6
